imdb_id,tmbd_id,title,mpa,genre,runtime,release_date,producion_company,revenue,budget,vote_average,vote_count,popularity,director,director_gender
tt0100998,12516,夢,PG,Fantasy,119,1990-05-11,Warner Bros. Pictures,1963207,NA,7.668,428,22.677,Akira Kurosawa,Male
tt0100685,1662,State of Grace,R,Drama,135,1990-09-14,Cinehaus,1911542,NA,6.971,306,10.081,Phil Joanou,Male
tt0099595,118430,The Forbidden Dance,PG-13,Romance,97,1990-03-16,21st Century Film Corporation,1823154,NA,6.3,91,6.49,Greydon Clark,Male
tt0100822,41927,Tune in Tomorrow...,PG-13,Comedy,107,1990-10-26,Odyssey,1794001,NA,5.3,24,4.308,Jon Amiel,Male
tt0100281,13759,The Nutcracker Prince,G,Animation,75,1990-11-21,Lacewood Productions,1781694,NA,6.435,69,7.907,Paul Schibli,NA
tt0098520,48524,Trop belle pour toi,R,Drama,91,1989-10-21,Ciné Valse,1776440,NA,6.337,98,4.538,Bertrand Blier,Male
tt0097714,12774,Last Exit to Brooklyn,R,Drama,103,1989-07-26,Allied Filmmakers,1730005,NA,6.4,95,13.706,Uli Edel,Male
tt0102750,90898,The Rain Killer,R,Thriller,94,1990-09-14,Califilm,1696066,NA,4.3,9,3.234,Ken Stein,NA
tt0099173,5898,Brain Dead,R,Thriller,85,1990-01-16,New Horizons,1627955,2000000,5.735,102,7.579,Adam Simon,Male
tt0097635,4486,Jésus de Montréal,R,Drama,119,1989-05-17,CNC,1601612,NA,6.88,79,5.492,Denys Arcand,Male
tt0097884,1785,Milou en Mai,R,Comedy,107,1990-01-24,Ellepi Films,1576702,NA,6.842,76,9.757,Louis Malle,Male
tt0099743,29905,The Haunting of Morella,R,Horror,82,1990-02-09,Concorde-New Horizons,1547867,NA,4.667,21,3.238,Jim Wynorski,Male
tt0099991,123770,The Last of the Finest,NA,Crime,106,1990-03-09,Davis Entertainment,1531489,12000000,5.9,31,5.838,John Mackenzie,Male
tt0100707,76661,Streets,R,Action,85,1990-01-19,NA,1510053,NA,5.1,12,2.331,Katt Shea,Female
tt0099566,31651,The Field,PG-13,Drama,110,1990-09-21,Sovereign Pictures,1494399,NA,7.1,82,7.255,Jim Sheridan,Male
tt0100065,32035,Love at Large,R,Comedy,97,1990-03-09,Orion Pictures,1436308,NA,5.063,24,3.941,Alan Rudolph,Male
tt0097904,38695,Monsieur Hire,PG-13,Crime,81,1989-05-24,Cinéa,1417030,NA,7.3,133,6.238,Patrice Leconte,Male
tt0097115,43912,Courage Mountain,PG,Drama,98,1990-02-14,Stone Group Pictures,1393610,NA,6.6,9,2.564,Christopher Leitch,Male
tt0100475,11510,Repossessed,PG-13,Comedy,80,1990-09-14,Carolco Pictures,1382462,NA,5.14,282,15.295,Bob Logan,NA
tt0099342,21030,Daddy's Dyin'... Who's Got the Will?,PG-13,Comedy,95,1990-05-04,Artist Circle Entertainment,1373728,NA,5.25,8,2.503,Jack Fisk,Male
tt0099520,41816,Everybody Wins,R,Crime,97,1990-01-19,Orion Pictures,1372350,NA,3.829,35,4.073,Karel Reisz,Male
tt0099606,51434,The Fourth War,R,Drama,91,1990-03-08,Aurora Production,1305887,NA,5.1,33,5.764,John Frankenheimer,Male
tt0099797,14864,The Hot Spot,R,Romance,130,1990-10-12,Orion Pictures,1293976,NA,6.3,238,27.887,Dennis Hopper,Male
tt0099155,76551,Bloodfist II,R,Action,85,1990-10-12,Concorde Pictures,1292323,NA,4.368,19,3.169,Andy Blumenthal,Male
tt0471404,385743,This Is Not Frank's Planet,3m,Animation,3,1991-01-18,NA,1289551,NA,0,1,0.6,Mike Wellins,NA
tt0102800,15618,Robot Jox,PG,Science Fiction,85,1989-10-01,Empire Pictures,1272977,10000000,5.539,115,10.439,Stuart Gordon,Male
tt0100639,27767,Slumber Party Massacre III,R,Horror,87,1990-09-07,Concorde Pictures,1242995,350000,4.952,84,4.411,Sally Mattison,Female
tt0097702,41937,Ladri di saponette,Not Rated,Comedy,90,1989-02-16,Bambú Cinema e TV,1231622,NA,7.355,31,4.141,Maurizio Nichetti,Male
tt0100879,65403,Vital Signs,R,Drama,102,1990-04-13,20th Century Fox,1224605,NA,4.9,14,2.621,Marisa Silver,Female
tt0100946,5302,Without You I'm Nothing,R,Comedy,90,1990-05-11,Management Company Entertainment Group (MCEG),1218730,NA,5.364,11,1.89,John Boskovich,NA
tt0099450,21433,Don't Tell Her It's Me,PG-13,Comedy,101,1990-09-21,Hemdale Film Corporation,1171762,6700000,5.6,49,7.476,Malcolm Mowbray,Male
tt0100791,94725,To Sleep with Anger,PG,Drama,101,1990-10-12,SVS Films,1161627,NA,6.606,47,4.831,Charles Burnett,Male
tt0100924,48864,Where the Heart Is,R,Comedy,107,1990-02-23,Silver Screen Partners IV,1106475,NA,6,40,3.986,John Boorman,Male
tt0099768,47869,Hidden Agenda,R,Drama,108,1990-11-21,Initial (II),1232210,NA,6.958,84,9.082,Ken Loach,Male
tt0099305,279930,Corporate Affairs,R,Comedy,82,1990-10-05,New Horizons,1006575,NA,0,0,1.423,Terence H. Winkless,Male
tt0099291,59820,Come See the Paradise,R,Drama,133,1990-08-17,20th Century Fox,947306,NA,6.1,49,6.054,Alan Parker,Male
tt0098725,65015,Sweetie,R,Drama,99,1989-09-28,New South Wales Film Corp.,938065,NA,5.989,87,8.092,Jane Campion,Female
tt0094764,21512,The Blood of Heroes,R,Action,100,1989-10-19,Handistom Investment,882290,NA,5.754,124,8.241,David Webb Peoples,Male
tt0099039,89139,Angel Town,R,Action,102,1990-02-23,Ellendale Place,855810,855,6.5,36,6.166,Eric Karson,Male
tt0100899,123784,Waiting for the Light,PG,Comedy,94,1990-06-14,Epic Productions,808690,NA,6.5,7,1.715,Christopher Monger,Male
tt0099200,77672,La Baule-les-Pins,1h 50m,Comedy,110,1990-02-14,Alexandre Films,805472,NA,6.109,56,6.152,Diane Kurys,Female
tt0102315,79538,Listen Up: The Lives of Quincy Jones,PG-13,Documentary,115,1990-10-05,NA,776699,NA,6,1,1.875,Ellen Weissbrod,NA
tt0129177,754916,Kakania,4m,Animation,NA,1989-01-01,NA,768304,NA,6,1,0.6,Karen Aqua,NA
tt0098394,120640,Strapless,R,Drama,99,1989-05-14,Granada Productions,764794,NA,8.3,3,0.772,David Hare,Male
tt0101414,10020,Beauty and the Beast,G,Romance,84,1991-10-22,Walt Disney Pictures,424967620,25000000,7.735,9484,97.565,Gary Trousdale,Male
tt0103064,280,Terminator 2: Judgment Day,R,Action,137,1991-07-03,Carolco Pictures,520000000,102000000,8.11,12128,77.315,James Cameron,Male
tt0102798,8367,Robin Hood: Prince of Thieves,PG-13,Action,143,1991-06-14,Morgan Creek Entertainment,390493908,48000000,6.849,3049,45.341,Kevin Reynolds,Male
